advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti		21465928829	Facebook	DK	Denmark	384	1	14219526	4679963	102903	27181
European Parliament		178362315106	Facebook	DK	Denmark	81	1	5520284	2336495	47835	10807
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	DK	Denmark	149	1	3595792	1149982	46723	13028
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	DK	Denmark	693	1	3558916	804688	29504	6197
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	DK	Denmark	109	1	3477804	1154971	39231	10805
Lizette Risgaard		547601668763372	Facebook	DK	Denmark	71	1	2760918	1084998	29448	7632
Red Barnet		67571270393	Facebook	DK	Denmark	82	1	2444902	846995	40734	10390
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	DK	Denmark	33	1	2325937	885988	32826	8368
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	DK	Denmark	12	1	1870937	789975	21568	6319
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	DK	Denmark	178	1	1692571	396955	6154	1057
SF	SF	74796954245	Facebook	DK	Denmark	46	1	1581951	429999	14575	3789
Pia Olsen Dyhr	SF	49348971479	Facebook	DK	Denmark	53	1	1525942	480997	12445	3427
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	DK	Denmark	34	1	1407952	382997	11885	2811
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	DK	Denmark	22	1	1365978	486000	20697	6306
SE Energi & Klima		169900309711559	Facebook	DK	Denmark	43	1	1358745	480933	8736	2396
World Animal Protection Danmark		33588644626	Facebook	DK	Denmark	5	1	1349921	559969	16066	3615
Mona Juul	Mona Juul	2079067062409423	Facebook	DK	Denmark	76	1	1167924	338000	10300	2169
Enhedslisten	Enhedslisten	223040066022	Facebook	DK	Denmark	22	1	1033966	331997	6491	1928
Røde Kors		65929129383	Facebook	DK	Denmark	27	1	862973	211000	9409	2919
Danske Medier	Danske Medier	300107073389986	Facebook	DK	Denmark	47	1	835646	254909	3688	963
Naser Khader		1995019340791443	Facebook	DK	Denmark	14	1	810986	254999	8781	2155
Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	DK	Denmark	17	1	804983	265999	8567	2195
Folkekirkens Nødhjælp		276770505228	Facebook	DK	Denmark	86	1	801900	200993	5531	1272
Facebook Nordic	Facebook	334318366655425	Facebook	DK	Denmark	4	1	799995	399999	5355	2677
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	DK	Denmark	36	1	763950	171997	4909	1031
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	DK	Denmark	65	1	749933	194999	4972	1298
Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	DK	Denmark	87	1	738766	172997	6025	1606
Kialo		729627343834501	Facebook	DK	Denmark	350	1	721699	278359	5627	1524
Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	DK	Denmark	30	1	698961	153996	7641	1834
Zetland	Zetland	341299649231023	Facebook	DK	Denmark	23	1	690976	245999	2139	870
Alternativet	Alternativet	676061179094769	Facebook	DK	Denmark	12	1	674973	230994	6492	2182
Niels Fuglsang		264009771074617	Facebook	DK	Denmark	112	1	665763	162980	4041	830
Nick Zimmermann - Dansk Folkeparti	Zimmermann Nick	331034483992282	Facebook	DK	Denmark	44	1	662840	183485	3889	1415
Laura Lindahl	Laura Lindahl	504310436316194	Facebook	DK	Denmark	51	1	650949	165000	7705	1914
En grønnere planet		301647537160818	Facebook	DK	Denmark	47	1	572941	151997	5423	1378
Morten Klessen	Socialdemokratiet i Nordjylland	1039840406189567	Facebook	DK	Denmark	28	1	565972	182000	4548	1004
Jeppe Kofod	Socialdemokratiet	137685999659722	Facebook	DK	Denmark	34	1	559964	129999	2338	656
Sex og Samfund		250994288337708	Facebook	DK	Denmark	4	1	549995	259999	14728	2945
Tandlægeforeningen		1570552809858689	Facebook	DK	Denmark	2	1	549953	209982	736	147
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	DK	Denmark	16	1	546936	174976	4643	964
Charlotte Munch - Politiker		210317432480139	Facebook	DK	Denmark	61	1	514489	105913	2318	414
Christel Schaldemose		424159230945271	Facebook	DK	Denmark	27	1	511973	198000	1188	281
Oatly		214112085661044	Facebook	DK	Denmark	2	1	509998	204999	5098	1000
Den Blå Planet		167018996755220	Facebook	DK	Denmark	9	1	505979	160997	3158	749
Simple Feast		571176036346620	Facebook	DK	Denmark	28	1	499970	110999	6371	900
Claus Hasselmanns - Folketingskandidat		611297145887529	Facebook	DK	Denmark	23	1	499270	160477	2957	683
Jacob Mark	SF	69985338410	Facebook	DK	Denmark	26	1	493971	136999	4401	1151
Christina Egelund	Liberal Alliance	684016791662654	Facebook	DK	Denmark	42	1	481958	107999	5685	1285
Nicolai Wammen	Socialdemokratiet	1458354184437993	Facebook	DK	Denmark	82	1	472654	140943	4485	870
Troels Lund Poulsen	Poulsen Troels Lund	139443622778678	Facebook	DK	Denmark	25	1	465975	111000	5339	1218
Lederne		167891603415958	Facebook	DK	Denmark	25	1	465967	110998	4026	1164
GetBarry		1351813504859326	Facebook	DK	Denmark	25	1	424967	97998	4074	399
Karina Lorentzen Dehnhardt	Dehnhardt Karina Lorentzen	116061635098137	Facebook	DK	Denmark	18	1	421969	125997	2782	870
Lars Løkke Rasmussen	Venstre, Danmarks Liberale Parti	58140803787	Facebook	DK	Denmark	6	1	399993	139999	2275	495
Rina Ronja Kari	Rina Ronja Kari	41763808759	Facebook	DK	Denmark	13	1	387882	139959	1616	348
Giv Klimaet Lov		445657632847922	Facebook	DK	Denmark	13	1	386812	115462	5648	1561
Europa-Parlamentet i Danmark	Europa-Parlamentet i Danmark	128700897207990	Facebook	DK	Denmark	54	1	377916	87994	3282	200
Venstres Ungdom - VU	Venstres Ungdom - VU	167412043730	Facebook	DK	Denmark	12	1	375982	104998	3720	776
Lars Chr. Lilleholt		1408142216156387	Facebook	DK	Denmark	92	1	369729	81348	8437	87
Asger Christensen i EU	Christensen Asger Bank Møller	1450750935146684	Facebook	DK	Denmark	20	1	365955	99995	1858	803
Nikolaj Bøgh	Nikolaj Bøgh	674034729594774	Facebook	DK	Denmark	16	1	356984	107000	2742	615
Amnesty International Danmark	Amnesty International Danmark	36664432940	Facebook	DK	Denmark	26	1	353971	73999	4682	977
Mai Mercado		397094903687472	Facebook	DK	Denmark	120	1	353880	76000	2835	495
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	DK	Denmark	16	1	350962	72994	4764	1030
Gitte Willumsen - Folketingskandidat for Venstre		1751959911736210	Facebook	DK	Denmark	4	1	349728	129893	1605	401
Linea Søgaard-Lidell	Søgaard-Lidell Linea	1002755833225691	Facebook	DK	Denmark	33	1	348913	91985	2539	642
Afrika Kontakt		194452460650048	Facebook	DK	Denmark	32	1	336951	80991	1896	441
Kathrine Olldag	Olldag Kathrine	810476755802044	Facebook	DK	Denmark	73	1	330824	64979	3644	669
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	DK	Denmark	33	1	320684	78942	3620	882
Britt Bager	Bager Britt	460055244123143	Facebook	DK	Denmark	23	1	309976	66000	3823	758
Bergur Larsson Løkke Rasmussen	Bergur Løkke Rasmussen	141378109375840	Facebook	DK	Denmark	30	1	308965	84997	3584	816
Steen Holm Iversen	Steen Holm Iversen	301279783370957	Facebook	DK	Denmark	21	1	304979	100000	3545	1272
Kim Edberg Andersen	Kim Edberg Andersen-Kristoffersen	533374726861312	Facebook	DK	Denmark	40	1	300960	80000	2860	589
SF Amager KBH		262391220488874	Facebook	DK	Denmark	31	1	262943	110987	2713	883
Folkebevægelsen for asylbørns fremtid		127791457997348	Facebook	DK	Denmark	10	1	262783	54958	1820	471
Serdal Benli	Benli Serdal	30196574028	Facebook	DK	Denmark	21	1	256979	65999	3853	883
Ali Aminali		1452133531486822	Facebook	DK	Denmark	4	1	255996	111000	7390	1472
Marie Bjerre		242091299473046	Facebook	DK	Denmark	16	1	252984	53000	2006	388
Fagbevægelsens Hovedorganisation	Fagbevægelsens Hovedorganisation	261599053881378	Facebook	DK	Denmark	21	1	243978	86999	2942	575
Anne Skau Styrishave	Styrishave Anne Skau	1407237706021123	Facebook	DK	Denmark	15	1	231691	63853	732	133
Dyrenes Beskyttelse		200709746630443	Facebook	DK	Denmark	9	1	221990	46999	2435	562
Mia Tang	Mia Tang	358828094665364	Facebook	DK	Denmark	24	1	211976	43000	2473	589
Radikale Venstre	Radikale Venstre	12458150929	Facebook	DK	Denmark	5	1	209995	45000	1673	415
Marianne Vind	Marianne Vind	329236874385098	Facebook	DK	Denmark	54	1	201946	48000	2603	508
UNICEF Danmark		63691965101	Facebook	DK	Denmark	1	1	199998	99999	669	133
Holger K Nielsen	SF	370360873057400	Facebook	DK	Denmark	4	1	199996	40000	2677	535
1664 Blanc		157416351125610	Facebook	DK	Denmark	1	1	199993	99997	669	133
JYSK Danmark		331225116969331	Facebook	DK	Denmark	1	1	199991	99996	669	133
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	DK	Denmark	15	1	199985	61000	1685	415
Morten Helveg Petersen		442403485851495	Facebook	DK	Denmark	4	1	199978	39996	2141	468
Jens-Henrik Kirk	Kirk Jens-Henrik	683682235062292	Facebook	DK	Denmark	12	1	198988	78000	1792	348
Michael Aastrup Jensen	Jensen Michael Aastrup	389665107805619	Facebook	DK	Denmark	22	1	191977	48999	947	200
HK/Privat	HK/Privat	56810821434	Facebook	DK	Denmark	9	1	179990	35999	1819	401
European Greens	European Greens	141366725876424	Facebook	DK	Denmark	11	1	172325	85310	5193	1056
Ørsted		170902079673829	Facebook	DK	Denmark	8	1	170992	34000	2235	441
Benny Engelbrecht		270431402967189	Facebook	DK	Denmark	16	1	169965	44995	814	187
Tommy Ahlers	Ahlers Tommy	2121857298076689	Facebook	DK	Denmark	7	1	166993	36000	2168	428
Kira Marie Peter-Hansen	Peter-Hansen Kira Marie	1497190180404355	Facebook	DK	Denmark	6	1	164993	32999	1083	294
Erling Bonnesen	Bonnesen Erling Faber	390925417751473	Facebook	DK	Denmark	10	1	164990	48000	1337	307
Liberal Alliances Ungdom	Liberal Alliances Ungdom	107893513382	Facebook	DK	Denmark	7	1	161993	32000	373	107
